x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,X_gyro,Y_gyro,Z_gyro
-0.040641,-0.076519,0.084346,0.120918,42978.89917,2001-01-01 11:56:18.899 +0000,,,,-0.040641,-0.076519,0.084346
0.054481,-0.269435,0.016059,0.275356,42978.87918,2001-01-01 11:56:18.879 +0000,,,,0.01384,-0.345954,0.100405
-0.127113,-0.15139,-0.011131,0.197991,42978.85922,2001-01-01 11:56:18.859 +0000,,,,-0.127113,-0.15139,-0.011131
-0.346146,0.109591,0.048655,0.366326,42978.83923,2001-01-01 11:56:18.839 +0000,,,,-0.473259,-0.041799,0.037524
-0.120696,-0.060581,0.091242,0.162981,42978.81927,2001-01-01 11:56:18.819 +0000,,,,-0.120696,-0.060581,0.091242
-0.0471,-0.081813,0.099276,0.136994,42978.79928,2001-01-01 11:56:18.799 +0000,,,,-0.167796,-0.142394,0.190518
-0.004471,-0.125369,0.134943,0.184247,42978.77932,2001-01-01 11:56:18.779 +0000,,,,-0.004471,-0.125369,0.134943
0.048177,-0.179727,0.107665,0.214976,42978.75934,2001-01-01 11:56:18.759 +0000,,,,0.043706,-0.305096,0.242608
0.095202,-0.162736,0.072675,0.202059,42978.73938,2001-01-01 11:56:18.739 +0000,,,,0.095202,-0.162736,0.072675
0.049179,-0.097837,0.052955,0.121634,42978.71939,2001-01-01 11:56:18.719 +0000,,,,0.144381,-0.260573,0.12563
-0.024763,-0.127493,0.14336,0.193442,42978.69943,2001-01-01 11:56:18.699 +0000,,,,-0.024763,-0.127493,0.14336
0.005956,-0.141212,0.186345,0.233882,42978.67944,2001-01-01 11:56:18.679 +0000,,,,-0.018807,-0.268705,0.329705
0.024081,-0.115685,0.165028,0.202971,42978.65948,2001-01-01 11:56:18.659 +0000,,,,0.024081,-0.115685,0.165028
-0.031375,-0.092323,0.151768,0.180392,42978.63949,2001-01-01 11:56:18.639 +0000,,,,-0.007294,-0.208008,0.316796
0.09388,-0.218977,0.160437,0.287236,42978.61953,2001-01-01 11:56:18.620 +0000,,,,0.09388,-0.218977,0.160437
0.343485,-0.452153,0.134974,0.583646,42978.59955,2001-01-01 11:56:18.600 +0000,,,,0.437365,-0.67113,0.295411
0.284201,-0.556554,0.150885,0.642875,42978.57959,2001-01-01 11:56:18.580 +0000,,,,0.284201,-0.556554,0.150885
0.093811,-0.299748,0.23652,0.393181,42978.5596,2001-01-01 11:56:18.560 +0000,,,,0.378012,-0.856302,0.387405
0.022678,-0.06088,0.356133,0.36201,42978.53961,2001-01-01 11:56:18.540 +0000,,,,0.022678,-0.06088,0.356133
0.083669,-0.108777,0.354537,0.380171,42978.51965,2001-01-01 11:56:18.520 +0000,,,,0.106347,-0.169657,0.71067
0.286018,-0.221701,0.293168,0.465731,42978.49966,2001-01-01 11:56:18.500 +0000,,,,0.286018,-0.221701,0.293168
0.4758,-0.242851,0.299849,0.612594,42978.4797,2001-01-01 11:56:18.480 +0000,,,,0.761818,-0.464552,0.593017
0.599638,-0.163725,0.381676,0.729416,42978.45971,2001-01-01 11:56:18.460 +0000,,,,0.599638,-0.163725,0.381676
0.462787,-0.087102,0.391229,0.612225,42978.43976,2001-01-01 11:56:18.440 +0000,,,,1.062425,-0.250827,0.772905
0.244326,-0.035182,0.343668,0.423132,42978.41977,2001-01-01 11:56:18.420 +0000,,,,0.244326,-0.035182,0.343668
0.140572,0.071211,0.32024,0.35691,42978.39981,2001-01-01 11:56:18.400 +0000,,,,0.384898,0.036029,0.663908
0.11634,0.144878,0.392535,0.43429,42978.37982,2001-01-01 11:56:18.380 +0000,,,,0.11634,0.144878,0.392535
0.187483,0.147168,0.435749,0.496675,42978.35986,2001-01-01 11:56:18.360 +0000,,,,0.303823,0.292046,0.828284
0.238227,0.085271,0.376423,0.453561,42978.33987,2001-01-01 11:56:18.340 +0000,,,,0.238227,0.085271,0.376423
0.208769,0.080836,0.315331,0.386721,42978.31991,2001-01-01 11:56:18.320 +0000,,,,0.446996,0.166107,0.691754
0.194755,0.122355,0.308713,0.384972,42978.29992,2001-01-01 11:56:18.300 +0000,,,,0.194755,0.122355,0.308713
0.168084,0.168061,0.276353,0.364511,42978.27997,2001-01-01 11:56:18.280 +0000,,,,0.362839,0.290416,0.585066
0.078161,0.161336,0.168914,0.246313,42978.25998,2001-01-01 11:56:18.260 +0000,,,,0.078161,0.161336,0.168914
0.007797,0.117257,0.028584,0.120943,42978.24002,2001-01-01 11:56:18.240 +0000,,,,0.085958,0.278593,0.197498
0.008391,0.044716,-0.012887,0.047286,42978.22003,2001-01-01 11:56:18.220 +0000,,,,0.008391,0.044716,-0.012887
0.021121,0.018171,0.018258,0.033311,42978.20004,2001-01-01 11:56:18.200 +0000,,,,0.029512,0.062887,0.005371
-0.01846,0.003318,0.05436,0.057505,42978.18008,2001-01-01 11:56:18.180 +0000,,,,-0.01846,0.003318,0.05436
-0.073706,-0.030817,0.051943,0.095291,42978.16009,2001-01-01 11:56:18.160 +0000,,,,-0.092166,-0.027499,0.106303
-0.022052,-0.068196,-0.001032,0.07168,42978.14013,2001-01-01 11:56:18.140 +0000,,,,-0.022052,-0.068196,-0.001032
0.082132,-0.024418,0.009169,0.086174,42978.12014,2001-01-01 11:56:18.120 +0000,,,,0.06008,-0.092614,0.008137
-0.074315,-0.058651,-0.002479,0.094703,42978.10019,2001-01-01 11:56:18.100 +0000,,,,-0.074315,-0.058651,-0.002479
-0.016169,-0.187497,0.001469,0.188198,42978.0802,2001-01-01 11:56:18.080 +0000,,,,-0.090484,-0.246148,-0.00101
-0.043926,-0.168361,-0.00625,0.174109,42978.06024,2001-01-01 11:56:18.060 +0000,,,,-0.043926,-0.168361,-0.00625
-0.079425,-0.103399,-0.003461,0.130428,42978.04025,2001-01-01 11:56:18.040 +0000,,,,-0.123351,-0.27176,-0.009711
-0.068983,-0.071406,0.007208,0.099546,42978.02029,2001-01-01 11:56:18.020 +0000,,,,-0.068983,-0.071406,0.007208
-0.032867,-0.091528,0.043836,0.106673,42978.0003,2001-01-01 11:56:18.000 +0000,,,,-0.10185,-0.162934,0.051044
0.025939,-0.12133,0.036834,0.129424,42977.98034,2001-01-01 11:56:17.980 +0000,,,,0.025939,-0.12133,0.036834
0.018425,-0.092608,0.022815,0.097141,42977.96035,2001-01-01 11:56:17.960 +0000,,,,0.044364,-0.213938,0.059649
-0.073702,-0.042514,0.060523,0.104415,42977.94043,2001-01-01 11:56:17.940 +0000,,,,-0.073702,-0.042514,0.060523
-0.103376,-0.087259,0.067924,0.151375,42977.92044,2001-01-01 11:56:17.920 +0000,,,,-0.177078,-0.129773,0.128447
-0.066063,-0.07873,0.059605,0.118808,42977.90048,2001-01-01 11:56:17.900 +0000,,,,-0.066063,-0.07873,0.059605
0.038372,-0.078646,0.062446,0.107505,42977.88049,2001-01-01 11:56:17.880 +0000,,,,-0.027691,-0.157376,0.122051
0.058802,-0.09359,0.04446,0.119136,42977.8605,2001-01-01 11:56:17.861 +0000,,,,0.058802,-0.09359,0.04446
-0.077088,0.026667,0.036805,0.089489,42977.84055,2001-01-01 11:56:17.841 +0000,,,,-0.018286,-0.066923,0.081265
-0.15608,0.086196,0.009397,0.178547,42977.82056,2001-01-01 11:56:17.821 +0000,,,,-0.15608,0.086196,0.009397
-0.113326,0.056409,0.012973,0.127252,42977.8006,2001-01-01 11:56:17.801 +0000,,,,-0.269406,0.142605,0.02237
-0.037626,0.007549,0.047809,0.061305,42977.78061,2001-01-01 11:56:17.781 +0000,,,,-0.037626,0.007549,0.047809
-0.045543,-0.128796,0.054537,0.147094,42977.76065,2001-01-01 11:56:17.761 +0000,,,,-0.083169,-0.121247,0.102346
-0.139999,0.048959,0.023498,0.150163,42977.74066,2001-01-01 11:56:17.741 +0000,,,,-0.139999,0.048959,0.023498
-0.300296,0.218059,-0.041086,0.373384,42977.7207,2001-01-01 11:56:17.721 +0000,,,,-0.440295,0.267018,-0.017588
-0.363154,0.222254,-0.049001,0.428577,42977.70071,2001-01-01 11:56:17.701 +0000,,,,-0.363154,0.222254,-0.049001
-0.319301,0.131854,-0.002513,0.345463,42977.68076,2001-01-01 11:56:17.681 +0000,,,,-0.682455,0.354108,-0.051514
-0.320669,0.191516,0.000521,0.373507,42977.66077,2001-01-01 11:56:17.661 +0000,,,,-0.320669,0.191516,0.000521
-0.353572,0.21376,-0.040365,0.415134,42977.64081,2001-01-01 11:56:17.641 +0000,,,,-0.674241,0.405276,-0.039844
-0.34572,0.179582,-0.078685,0.397446,42977.62082,2001-01-01 11:56:17.621 +0000,,,,-0.34572,0.179582,-0.078685
-0.336501,0.233965,-0.059538,0.414146,42977.60086,2001-01-01 11:56:17.601 +0000,,,,-0.682221,0.413547,-0.138223
-0.292042,0.302168,-0.062629,0.424872,42977.58087,2001-01-01 11:56:17.581 +0000,,,,-0.292042,0.302168,-0.062629
-0.278305,0.304354,-0.044377,0.414794,42977.56091,2001-01-01 11:56:17.561 +0000,,,,-0.570347,0.606522,-0.107006
-0.398108,0.320393,0.014607,0.511229,42977.54092,2001-01-01 11:56:17.541 +0000,,,,-0.398108,0.320393,0.014607
-0.440199,0.36098,0.069775,0.573542,42977.52094,2001-01-01 11:56:17.521 +0000,,,,-0.838307,0.681373,0.084382
-0.257603,0.355657,0.017597,0.439501,42977.50098,2001-01-01 11:56:17.501 +0000,,,,-0.257603,0.355657,0.017597
-0.231481,0.334187,-0.055896,0.410352,42977.48099,2001-01-01 11:56:17.481 +0000,,,,-0.489084,0.689844,-0.038299
-0.190836,0.220399,0.010935,0.291743,42977.46103,2001-01-01 11:56:17.461 +0000,,,,-0.190836,0.220399,0.010935
-0.127002,0.210927,0.038105,0.249142,42977.44104,2001-01-01 11:56:17.441 +0000,,,,-0.317838,0.431326,0.04904
-0.117387,0.214114,0.03175,0.246236,42977.42108,2001-01-01 11:56:17.421 +0000,,,,-0.117387,0.214114,0.03175
-0.178162,0.20451,0.043119,0.274637,42977.40109,2001-01-01 11:56:17.401 +0000,,,,-0.295549,0.418624,0.074869
-0.146634,0.096896,0.02546,0.177591,42977.38113,2001-01-01 11:56:17.381 +0000,,,,-0.146634,0.096896,0.02546
-0.007195,-0.09899,0.034413,0.105048,42977.36115,2001-01-01 11:56:17.361 +0000,,,,-0.153829,-0.002094,0.059873
-0.09678,-0.07458,0.024125,0.124542,42977.34119,2001-01-01 11:56:17.341 +0000,,,,-0.09678,-0.07458,0.024125
-0.160845,-0.009727,-0.008539,0.161365,42977.3212,2001-01-01 11:56:17.321 +0000,,,,-0.257625,-0.084307,0.015586
-0.219013,0.220573,0.088746,0.323257,42977.30124,2001-01-01 11:56:17.301 +0000,,,,-0.219013,0.220573,0.088746
-0.129551,0.087772,0.206178,0.258837,42977.28125,2001-01-01 11:56:17.281 +0000,,,,-0.348564,0.308345,0.294924
0.137876,-0.081477,0.179593,0.240628,42977.26129,2001-01-01 11:56:17.261 +0000,,,,0.137876,-0.081477,0.179593
0.175033,-0.09778,0.038845,0.204221,42977.2413,2001-01-01 11:56:17.241 +0000,,,,0.312909,-0.179257,0.218438
0.044183,-0.067148,-0.027301,0.08489,42977.22134,2001-01-01 11:56:17.221 +0000,,,,0.044183,-0.067148,-0.027301
-0.025346,-0.069221,0.016045,0.075442,42977.20136,2001-01-01 11:56:17.201 +0000,,,,0.018837,-0.136369,-0.011256
-0.023523,-0.106302,0.097365,0.146059,42977.18137,2001-01-01 11:56:17.181 +0000,,,,-0.023523,-0.106302,0.097365
-0.006401,-0.06441,0.23093,0.23983,42977.16141,2001-01-01 11:56:17.161 +0000,,,,-0.029924,-0.170712,0.328295
0.025366,-0.04091,0.247108,0.251753,42977.14142,2001-01-01 11:56:17.141 +0000,,,,0.025366,-0.04091,0.247108
0.083102,-0.095609,0.082027,0.150916,42977.12146,2001-01-01 11:56:17.121 +0000,,,,0.108468,-0.136519,0.329135
0.134833,-0.184052,0.056973,0.235162,42977.10147,2001-01-01 11:56:17.101 +0000,,,,0.134833,-0.184052,0.056973
-0.007272,-0.000703,0.147407,0.147588,42977.08151,2001-01-01 11:56:17.082 +0000,,,,0.127561,-0.184755,0.20438
-0.13877,0.182676,0.246461,0.336706,42977.06152,2001-01-01 11:56:17.062 +0000,,,,-0.13877,0.182676,0.246461
0.063957,0.01431,0.166012,0.17848,42977.04157,2001-01-01 11:56:17.042 +0000,,,,-0.074813,0.196986,0.412473
0.362977,-0.314057,-0.026615,0.480721,42977.02158,2001-01-01 11:56:17.022 +0000,,,,0.362977,-0.314057,-0.026615
0.242822,-0.284495,-0.098028,0.386665,42977.00162,2001-01-01 11:56:17.002 +0000,,,,0.605799,-0.598552,-0.124643
-0.064321,0.008613,0.055105,0.085135,42976.98163,2001-01-01 11:56:16.982 +0000,,,,-0.064321,0.008613,0.055105
-0.155236,0.275358,0.252509,0.404575,42976.96167,2001-01-01 11:56:16.962 +0000,,,,-0.219557,0.283971,0.307614
0.123511,-0.013233,0.210298,0.244244,42976.9417,2001-01-01 11:56:16.942 +0000,,,,0.123511,-0.013233,0.210298
0.505025,-0.500127,0.073152,0.714513,42976.92174,2001-01-01 11:56:16.922 +0000,,,,0.628536,-0.51336,0.28345
0.636313,-0.327434,0.082117,0.720313,42976.90176,2001-01-01 11:56:16.902 +0000,,,,0.636313,-0.327434,0.082117
0.018516,0.103245,0.386645,0.400621,42976.8818,2001-01-01 11:56:16.882 +0000,,,,0.654829,-0.224189,0.468762
-0.334421,0.260221,0.642416,0.769579,42976.86181,2001-01-01 11:56:16.862 +0000,,,,-0.334421,0.260221,0.642416
-0.216053,0.06528,0.609553,0.649996,42976.84185,2001-01-01 11:56:16.842 +0000,,,,-0.550474,0.325501,1.251969
-0.001257,-0.154252,0.512227,0.534951,42976.82186,2001-01-01 11:56:16.822 +0000,,,,-0.001257,-0.154252,0.512227
0.169408,0.112497,0.634464,0.666258,42976.80187,2001-01-01 11:56:16.802 +0000,,,,0.168151,-0.041755,1.146691
0.079031,0.607423,0.916733,1.102546,42976.78191,2001-01-01 11:56:16.782 +0000,,,,0.079031,0.607423,0.916733
0.068988,0.78028,1.032663,1.296144,42976.76192,2001-01-01 11:56:16.762 +0000,,,,0.148019,1.387703,1.949396
0.286403,-0.069732,1.000111,1.042646,42976.74197,2001-01-01 11:56:16.742 +0000,,,,0.286403,-0.069732,1.000111
0.406631,0.078668,1.095617,1.171287,42976.72198,2001-01-01 11:56:16.722 +0000,,,,0.693034,0.008936,2.095728
0.245069,0.733366,1.390861,1.591345,42976.70202,2001-01-01 11:56:16.702 +0000,,,,0.245069,0.733366,1.390861
0.106007,0.984206,1.631793,1.908572,42976.68203,2001-01-01 11:56:16.682 +0000,,,,0.351076,1.717572,3.022654
0.204772,0.854722,1.795225,1.998828,42976.66207,2001-01-01 11:56:16.662 +0000,,,,0.204772,0.854722,1.795225
0.285233,0.733363,1.804646,1.968737,42976.64208,2001-01-01 11:56:16.642 +0000,,,,0.490005,1.588085,3.599871
0.160906,0.852634,1.824853,2.020634,42976.62212,2001-01-01 11:56:16.622 +0000,,,,0.160906,0.852634,1.824853
-0.074907,1.164965,1.976278,2.295306,42976.60213,2001-01-01 11:56:16.602 +0000,,,,0.085999,2.017599,3.801131
-0.120271,1.172005,2.249492,2.539345,42976.58218,2001-01-01 11:56:16.582 +0000,,,,-0.120271,1.172005,2.249492
-0.218902,1.488646,2.806797,3.184665,42976.56219,2001-01-01 11:56:16.562 +0000,,,,-0.339173,2.660651,5.056289
-0.256601,1.65021,3.101012,3.522117,42976.54223,2001-01-01 11:56:16.542 +0000,,,,-0.256601,1.65021,3.101012
-0.201033,1.497095,3.199038,3.537732,42976.52224,2001-01-01 11:56:16.522 +0000,,,,-0.457634,3.147305,6.30005
-0.175207,1.115957,3.283592,3.472468,42976.50228,2001-01-01 11:56:16.502 +0000,,,,-0.175207,1.115957,3.283592
-0.270015,0.932558,3.242847,3.38506,42976.48229,2001-01-01 11:56:16.482 +0000,,,,-0.445222,2.048515,6.526439
-0.590171,1.275273,3.215179,3.508846,42976.4623,2001-01-01 11:56:16.462 +0000,,,,-0.590171,1.275273,3.215179
-0.594662,1.348723,3.194647,3.518302,42976.44234,2001-01-01 11:56:16.442 +0000,,,,-1.184833,2.623996,6.409826
-0.088444,0.95486,3.161736,3.303961,42976.42236,2001-01-01 11:56:16.422 +0000,,,,-0.088444,0.95486,3.161736
0.662623,0.029894,3.245183,3.312277,42976.4024,2001-01-01 11:56:16.402 +0000,,,,0.574179,0.984754,6.406919
0.552418,-0.265567,3.551905,3.604403,42976.38241,2001-01-01 11:56:16.382 +0000,,,,0.552418,-0.265567,3.551905
-0.067844,0.733593,3.280013,3.361733,42976.36245,2001-01-01 11:56:16.362 +0000,,,,0.484574,0.468026,6.831918
-0.493985,1.470856,3.015485,3.391252,42976.34246,2001-01-01 11:56:16.342 +0000,,,,-0.493985,1.470856,3.015485
-0.942872,1.954333,2.657465,3.430823,42976.3225,2001-01-01 11:56:16.323 +0000,,,,-1.436857,3.425189,5.67295
-1.135929,1.746045,2.49004,3.24643,42976.30251,2001-01-01 11:56:16.303 +0000,,,,-1.135929,1.746045,2.49004
-1.002277,1.255852,2.810691,3.237546,42976.28255,2001-01-01 11:56:16.283 +0000,,,,-2.138206,3.001897,5.300731
-0.83616,0.845215,2.986026,3.214017,42976.26256,2001-01-01 11:56:16.263 +0000,,,,-0.83616,0.845215,2.986026
-0.818334,0.613756,2.862829,3.040091,42976.24261,2001-01-01 11:56:16.243 +0000,,,,-1.654494,1.458971,5.848855
-1.135131,0.906438,2.848142,3.197196,42976.22262,2001-01-01 11:56:16.223 +0000,,,,-1.135131,0.906438,2.848142
-1.010063,1.199635,2.910162,3.305813,42976.20266,2001-01-01 11:56:16.203 +0000,,,,-2.145194,2.106073,5.758304
-0.631378,1.131122,3.091345,3.351789,42976.18267,2001-01-01 11:56:16.183 +0000,,,,-0.631378,1.131122,3.091345
-0.268707,1.259118,3.47704,3.707748,42976.16271,2001-01-01 11:56:16.163 +0000,,,,-0.900085,2.39024,6.568385
-0.323148,1.121076,3.244113,3.447536,42976.14272,2001-01-01 11:56:16.143 +0000,,,,-0.323148,1.121076,3.244113
-0.735247,0.275037,2.427289,2.551072,42976.12273,2001-01-01 11:56:16.123 +0000,,,,-1.058395,1.396113,5.671402
-1.12116,0.071181,1.531964,1.899732,42976.10277,2001-01-01 11:56:16.103 +0000,,,,-1.12116,0.071181,1.531964
-1.48907,0.715265,1.050106,1.957462,42976.08279,2001-01-01 11:56:16.083 +0000,,,,-2.61023,0.786446,2.58207
-1.445246,1.351556,1.592544,2.540008,42976.06283,2001-01-01 11:56:16.063 +0000,,,,-1.445246,1.351556,1.592544
-1.649964,1.153073,1.942174,2.797141,42976.04284,2001-01-01 11:56:16.043 +0000,,,,-3.09521,2.504629,3.534718
-2.519405,1.405966,1.513557,3.258066,42976.02288,2001-01-01 11:56:16.023 +0000,,,,-2.519405,1.405966,1.513557
-3.389216,1.460204,1.305591,3.91453,42976.00289,2001-01-01 11:56:16.003 +0000,,,,-5.908621,2.86617,2.819148
-3.279008,1.48624,1.034863,3.745897,42975.98293,2001-01-01 11:56:15.983 +0000,,,,-3.279008,1.48624,1.034863
-2.428487,0.918257,1.135107,2.833587,42975.96294,2001-01-01 11:56:15.963 +0000,,,,-5.707495,2.404497,2.16997
-1.834517,0.886055,1.289863,2.411284,42975.94301,2001-01-01 11:56:15.943 +0000,,,,-1.834517,0.886055,1.289863
-1.958182,0.849829,1.323319,2.511545,42975.92302,2001-01-01 11:56:15.923 +0000,,,,-3.792699,1.735884,2.613182
-2.295583,0.997782,0.94773,2.676464,42975.90306,2001-01-01 11:56:15.903 +0000,,,,-2.295583,0.997782,0.94773
-2.376842,1.858194,0.83906,3.131499,42975.88307,2001-01-01 11:56:15.883 +0000,,,,-4.672425,2.855976,1.78679
-1.818642,2.476075,1.110412,3.266714,42975.86311,2001-01-01 11:56:15.863 +0000,,,,-1.818642,2.476075,1.110412
-0.963013,2.595703,1.412908,3.108275,42975.84312,2001-01-01 11:56:15.843 +0000,,,,-2.781655,5.071778,2.52332
-0.714782,2.800946,1.624522,3.315913,42975.82317,2001-01-01 11:56:15.823 +0000,,,,-0.714782,2.800946,1.624522
-1.500708,3.459966,1.70077,4.137162,42975.80318,2001-01-01 11:56:15.803 +0000,,,,-2.21549,6.260912,3.325292
-1.733239,4.183087,1.688688,4.832598,42975.78319,2001-01-01 11:56:15.783 +0000,,,,-1.733239,4.183087,1.688688
-1.159259,4.032925,1.536967,4.468852,42975.76323,2001-01-01 11:56:15.763 +0000,,,,-2.892498,8.216012,3.225655
-0.57475,3.261052,1.546215,3.654528,42975.74324,2001-01-01 11:56:15.743 +0000,,,,-0.57475,3.261052,1.546215
-0.449152,2.737253,1.636104,3.220423,42975.72328,2001-01-01 11:56:15.723 +0000,,,,-1.023902,5.998305,3.182319
-0.636369,2.406493,1.480805,2.89637,42975.70329,2001-01-01 11:56:15.703 +0000,,,,-0.636369,2.406493,1.480805
-0.671508,1.868843,1.190326,2.315248,42975.68333,2001-01-01 11:56:15.683 +0000,,,,-1.307877,4.275336,2.671131
-0.546487,1.44752,0.93801,1.809372,42975.66334,2001-01-01 11:56:15.663 +0000,,,,-0.546487,1.44752,0.93801
-0.157631,1.007016,0.60525,1.185435,42975.64339,2001-01-01 11:56:15.643 +0000,,,,-0.704118,2.454536,1.54326
-0.001055,0.52591,0.292404,0.601733,42975.6234,2001-01-01 11:56:15.623 +0000,,,,-0.001055,0.52591,0.292404
-0.167934,0.368868,0.162415,0.436628,42975.60344,2001-01-01 11:56:15.603 +0000,,,,-0.168989,0.894778,0.454819
-0.152996,0.32103,0.197906,0.406983,42975.58345,2001-01-01 11:56:15.583 +0000,,,,-0.152996,0.32103,0.197906
0.279842,0.427,0.274267,0.579537,42975.56349,2001-01-01 11:56:15.563 +0000,,,,0.126846,0.74803,0.472173
0.712673,0.172736,0.282153,0.785717,42975.5435,2001-01-01 11:56:15.544 +0000,,,,0.712673,0.172736,0.282153
0.81544,-0.241832,0.181396,0.869672,42975.52354,2001-01-01 11:56:15.524 +0000,,,,1.528113,-0.069096,0.463549
0.626107,-0.53539,-0.006073,0.823826,42975.50355,2001-01-01 11:56:15.504 +0000,,,,0.626107,-0.53539,-0.006073
0.526419,-0.485704,-0.12976,0.727917,42975.4836,2001-01-01 11:56:15.484 +0000,,,,1.152526,-1.021094,-0.135833
0.560692,-0.643095,-0.031866,0.853793,42975.46361,2001-01-01 11:56:15.464 +0000,,,,0.560692,-0.643095,-0.031866
